# GrowSpot species light levels — snapshot 2026-09-05 — CC BY 4.0 (https://creativecommons.org/licenses/by/4.0/) — attribution: GrowSpot — growspotapp.com
common_name,scientific_name,light_requirement
Compressed Ctenanthe,Ctenanthe compressa,medium
Variegated Ctenanthe,Ctenanthe kummeriana,medium
Bamburanta,Ctenanthe lubbersiana,medium
Never Never Plant,Ctenanthe oppenheimiana,medium
Never Never Plant Tricolor,Ctenanthe oppenheimiana 'Tricolor',medium
Giant Bamburanta,Ctenanthe pilosa,medium
Grey Star Ctenanthe,Ctenanthe setosa,medium
Cigar Flower,Cuphea ignea,high
Turmeric,Curcuma longa,medium
Stemless curio,Curio acaulis,high
String of Tears,Curio citriformis,very_high
Skyscraper senecio,Curio ficoides,very_high
String of Dolphins,Curio peregrinus,high
String of Bananas / Fishhooks,Curio radicans,high
Blue chalksticks curio,Curio repens,very_high
Blue Chalksticks,Curio talinoides,high
Teddy Bear Vine,Cyanotis beddomei,medium
Tree Fern,Cyathea cooperi,medium
Sago palm,Cycas revoluta,high
Hardy cyclamen,Cyclamen coum,medium
Ivy-leaved cyclamen,Cyclamen hederifolium,medium
Florist's Cyclamen,Cyclamen persicum,medium
Alpine cyclamen,Cyclamen purpurascens,medium
Swan Orchid,Cycnoches chlorochilon,high
Red-lipped Cymbidiella,Cymbidiella rhodochila,high
Aloe-leafed Cymbidium,Cymbidium aloifolium,high
Devon Cymbidium,Cymbidium devonianum,medium
Golden Thread Orchid,Cymbidium ensifolium,high
Golden-edged Cymbidium,Cymbidium floribundum,high
Noble Orchid,Cymbidium goeringii,medium
Cymbidium Orchid,Cymbidium hookerianum,high
Iris-like Cymbidium,Cymbidium iridioides,high
Low's Cymbidium,Cymbidium lowianum,high
Giant Boat-lip Orchid,Cymbidium madidum,high
Tracy's Cymbidium,Cymbidium tracyanum,high
Lemongrass,Cymbopogon citratus,high
Dwarf umbrella sedge,Cyperus alternifolius,medium
Holly Fern,Cyrtomium falcatum,low
Japanese Holly Fern,Cyrtomium fortunei,low
Cigar Orchid,Cyrtopodium punctatum,high
Arched Cyrtorchis,Cyrtorchis arcuata,medium
Cobra lily,Darlingtonia californica,high
Hare's Foot Fern,Davallia canariensis,medium
Rabbit's Foot Fern,Davallia fejeensis,medium
Japanese Rabbit's Foot Fern,Davallia mariesii,medium
Polynesian Foot Fern,Davallia solida,medium
Squirrel's Foot Fern,Davallia trichomanoides,medium
Dwarf rabbit's foot fern,Davallia tyermannii,medium
German Ivy,Delairea odorata,medium
Pickle Plant,Delosperma echinatum,very_high
Honey-scented Dendrobium,Dendrobium aggregatum,high
Unscented Dendrobium,Dendrobium anosmum,high
Hooded Orchid,Dendrobium aphyllum,high
Purple Cooktown Orchid,Dendrobium bigibbum,high
Golden Bow Dendrobium,Dendrobium chrysotoxum,high
Pigeon Orchid,Dendrobium crumenatum,high
Dense-flowered Dendrobium,Dendrobium densiflorum,high
Farmer's Dendrobium,Dendrobium farmeri,high
Fringed Dendrobium,Dendrobium fimbriatum,high
Pink Rock Orchid,Dendrobium kingianum,high
Lawes' Dendrobium,Dendrobium lawesii,medium
Lindley's Dendrobium,Dendrobium lindleyi,high
Loddiges' Dendrobium,Dendrobium loddigesii,high
Musky Dendrobium,Dendrobium moschatum,high
Dendrobium Orchid,Dendrobium nobile,high
Parish's Dendrobium,Dendrobium parishii,high
Cooktown Orchid,Dendrobium phalaenopsis,high
Toothbrush Orchid,Dendrobium secundum,high
Rock Lily,Dendrobium speciosum,high
Spectacular Dendrobium,Dendrobium spectabile,high
Pinecone Dendrobium,Dendrobium thyrsiflorum,high
Queen Victoria's Dendrobium,Dendrobium victoriae-reginae,medium
Chain Orchid,Dendrochilum filiforme,medium
Dwarf Bromeliad,Deuterocohnia brevifolia,very_high
Carnation,Dianthus caryophyllus,high
China pink,Dianthus chinensis,high
Twinspur (diascia),Diascia barberae,high
Mahogany Fern,Didymochlaena truncatula,low
Camouflage Dumb Cane,Dieffenbachia 'Camouflage',medium
Exotica Dumb Cane,Dieffenbachia 'Exotica',medium
Honeydew Dumb Cane,Dieffenbachia 'Honeydew',medium
Reflector Dumb Cane,Dieffenbachia 'Reflector',medium
Sparkles Dumb Cane,Dieffenbachia 'Sparkles',medium
Star Bright Dumb Cane,Dieffenbachia 'Star Bright',medium
Tiki Dumb Cane (Tropical Tiki),Dieffenbachia 'Tiki',medium
Tropic Marianne Dumb Cane,Dieffenbachia 'Tropic Marianne',medium
Tropic Snow Dumb Cane,Dieffenbachia 'Tropic Snow',medium
Spotted Dumb Cane,Dieffenbachia amoena,medium
Camille Dumb Cane,Dieffenbachia maculata 'Camille',medium
Oersted's Dumb Cane,Dieffenbachia oerstedii,medium
Dumb cane,Dieffenbachia seguine,medium
Compact Dumb Cane,Dieffenbachia seguine 'Compacta',medium
Venus flytrap,Dionaea muscipula,very_high
Elephant's foot,Dioscorea elephantipes,high
Red Disa,Disa uniflora,medium
Bengal Dischidia,Dischidia bengalensis,medium
Imbricata Dischidia,Dischidia imbricata,high
Button Orchid / Dischidia,Dischidia nummularia,medium
Geri Dischidia,Dischidia oiantha,medium
Ant Plant Dischidia,Dischidia ovata,medium
Million Hearts,Dischidia ruscifolia,medium
Ant Plant Dischidia,Dischidia vidalii,high
Disc cactus,Discocactus heptacanthus,very_high
Horst's disco cactus,Discocactus horstii,high
Bahia disco cactus,Discocactus zehntneri,very_high
Fishbone Cactus,Disocactus anguliger,medium
Rasp Fern,Doodia media,medium
Large-Leaved Dragon Tree,Dracaena aletriformis,medium
Cylindrical Snake Plant,Dracaena angolensis,medium
Tree Dracaena,Dracaena arborea,medium
Ribbon Plant,Dracaena braunii,medium
Socotra Dragon Tree,Dracaena cinnabari,high
Compact Dracaena,Dracaena compacta,medium
Limelight Dracaena,Dracaena deremensis 'Limelight',medium
Madagascar Dragon Tree,Dracaena draco,high
Corn plant,Dracaena fragrans,medium
Janet Craig Dracaena,Dracaena fragrans 'Janet Craig',medium
Lemon Lime Dracaena,Dracaena fragrans 'Lemon Lime',medium
Corn Plant / Mass Cane,Dracaena fragrans 'Massangeana',medium
Warneckii Dracaena,Dracaena fragrans 'Warneckii',medium
Goldie's Dracaena,Dracaena goldieana,medium
Rhino Grass,Dracaena hanningtonii,high
African Spear,Dracaena hyacinthoides,medium
Liberian Snake Plant,Dracaena liberica,medium
Dragon tree,Dracaena marginata,medium
"Red-edged Dracaena, Dragon Tree",Dracaena marginata 'Bicolor',high
Colorama Dragon Tree,Dracaena marginata 'Colorama',medium
Rainbow Dragon Tree,Dracaena marginata 'Tricolor',medium
Whale Fin Snake Plant,Dracaena masoniana,medium
Star Sansevieria,Dracaena pearsonii,high
Spotted Dragon Plant,Dracaena phrynioides,medium
Song of India,Dracaena reflexa 'Song of India',medium
Song of Jamaica,Dracaena reflexa 'Song of Jamaica',medium
Lucky Bamboo,Dracaena sanderiana,medium
Northern Large-Leaved Dragon Tree,Dracaena steudneri,medium
Gold Dust Dracaena,Dracaena surculosa,medium
Snake plant,Dracaena trifasciata,low
Bantel's Sensation Snake Plant,Dracaena trifasciata 'Bantel's Sensation',low
Black Coral Snake Plant,Dracaena trifasciata 'Black Coral',low
Black Gold Snake Plant,Dracaena trifasciata 'Black Gold',low
Black Birds Nest Snake Plant,Dracaena trifasciata 'Black Hahnii',medium
Fernwood Snake Plant (Fernwood Mikado),Dracaena trifasciata 'Fernwood',low
Dwarf Snake Plant,Dracaena trifasciata 'Futura Superba',medium
Golden Hahnii Snake Plant,Dracaena trifasciata 'Golden Hahnii',low
Bird's Nest Snake Plant,Dracaena trifasciata 'Hahnii',low
Jade Bird's Nest Sansevieria,Dracaena trifasciata 'Jade Hahnii',medium
Variegated Snake Plant,Dracaena trifasciata 'Laurentii',medium
Moonshine Snake Plant,Dracaena trifasciata 'Moonshine',low
Twisted Sister Snake Plant,Dracaena trifasciata 'Twist',low
Whitney Snake Plant,Dracaena trifasciata 'Whitney',low
Zeylanica Snake Plant,Dracaena trifasciata 'Zeylanica',low
Umbrella Dracaena,Dracaena umbraculifera,medium
Vampire Orchid,Dracula vampira,low
Sticky sundew,Drosera adelae,medium
African sundew,Drosera aliciae,very_high
Alice sundew (lance-leaved),Drosera anglica,very_high
Forked sundew,Drosera binata,very_high
Cape sundew,Drosera capensis,high
Woolly sundew,Drosera capillaris,very_high
Thread-leaf sundew,Drosera filiformis,very_high
Brazilian sundew,Drosera graminifolia,very_high
Spoonleaf Sundew,Drosera intermedia,very_high
Madagascar sundew,Drosera madagascariensis,very_high
Climbing sundew (Drosera),Drosera prolifera,medium
Fork-leaved giant sundew,Drosera regia,high
Round-leaved sundew,Drosera rotundifolia,high
Pygmy sundew,Drosera scorpioides,very_high
Spoon-leaved sundew,Drosera spatulata,very_high
Portuguese sundew (dewy pine),Drosophyllum lusitanicum,very_high
Zebra Dryadella,Dryadella zebrina,low
Oakleaf Basket Fern,Drynaria quercifolia,medium
Autumn Fern,Dryopteris erythrosora,low
Male Fern,Dryopteris filix-mas,low
Britton's dudleya,Dudleya brittonii,very_high
Bluff lettuce,Dudleya farinosa,very_high
Lance-leaved liveforever,Dudleya lanceolata,very_high
Chalk lettuce,Dudleya pulverulenta,very_high
Pineapple Dyckia,Dyckia brevifolia,very_high
Foster's Dyckia,Dyckia fosteriana,very_high
Cabada Palm,Dypsis cabadae,medium
Triangle Palm,Dypsis decaryi,high
Areca palm,Dypsis lutescens,high
Epazote,Dysphania ambrosioides,high
Afterglow Echeveria,Echeveria 'Afterglow',very_high
Black Prince,Echeveria 'Black Prince',very_high
Lola Echeveria,Echeveria 'Lola',very_high
Neon Breakers,Echeveria 'Neon Breakers',very_high
Perle von Nürnberg,Echeveria 'Perle von Nürnberg',very_high
Black Prince Echeveria,Echeveria affinis,very_high
Lipstick Echeveria,Echeveria agavoides,very_high
Amoena Echeveria,Echeveria amoena,very_high
Bifid Echeveria,Echeveria bifida,very_high
White Cloud Echeveria,Echeveria cante,very_high
Flesh-colored Echeveria,Echeveria carnicolor,very_high
Chihuahua Echeveria,Echeveria chihuahuaensis,very_high
Scarlet Echeveria,Echeveria coccinea,very_high
Colorata Echeveria,Echeveria colorata,very_high
Cuspidate Echeveria,Echeveria cuspidata,very_high
Painted Lady,Echeveria derenbergii,very_high
Echeveria,Echeveria elegans,very_high
Perle von Nurnberg Echeveria,Echeveria gibbiflora,very_high
Graceful Echeveria,Echeveria gracilis,very_high
Halbinger's Echeveria,Echeveria halbingeri,very_high
Plush Red Echeveria,Echeveria harmsii,very_high
Lau's Echeveria,Echeveria laui,very_high
Chenille Plant,Echeveria leucotricha,very_high
Ghost Echeveria,Echeveria lilacina,very_high
Miniature Echeveria,Echeveria minima,very_high
Moran's Echeveria,Echeveria moranii,very_high
Copper Roses,Echeveria multicaulis,very_high
Painted Echeveria,Echeveria nodulosa,very_high
Argentine Echeveria,Echeveria pallida,very_high
Peacock Echeveria,Echeveria peacockii,very_high
Prolific Echeveria,Echeveria prolifica,very_high
Pulido's Echeveria,Echeveria pulidonis,very_high
Woolly Rose / Plush Plant,Echeveria pulvinata,very_high
Purpus' Echeveria,Echeveria purpusorum,very_high
Racemose Echeveria,Echeveria racemosa,very_high
Rosy Echeveria,Echeveria rosea,very_high
Topsy Turvy Echeveria,Echeveria runyonii 'Topsy Turvy',very_high
Blue Echeveria,Echeveria secunda,very_high
Powder Puff / Mexican Firecracker,Echeveria setosa,very_high
Mexican Hens,Echeveria shaviana,very_high
Toliman Echeveria,Echeveria tolimanensis,very_high
Golden Barrel Cactus,Echinocactus grusonii,very_high
Giant barrel cactus,Echinocactus platyacanthus,very_high
Strawberry Hedgehog Cactus,Echinocereus engelmannii,very_high
Ladyfinger Cactus,Echinocereus pentalophus,very_high
Rainbow Hedgehog Cactus,Echinocereus rigidissimus,very_high
Claret Cup Cactus,Echinocereus triglochidiatus,very_high
Hooked Sea Urchin Cactus,Echinopsis ancistrophora,very_high
Golden Easter Lily Cactus,Echinopsis aurea,very_high
Argentine Giant Cactus,Echinopsis candicans,very_high
Peanut Cactus,Echinopsis chamaecereus,very_high
Hedgehog Cactus,Echinopsis eyriesii,very_high
Red Torch Cactus,Echinopsis huascha,very_high
Sea Urchin Cactus,Echinopsis oxygona,very_high
San Pedro Cactus,Echinopsis pachanoi,very_high
Torch Cactus,Echinopsis spachiana,very_high
Easter Lily Cactus,Echinopsis subdenudata,high
Linden's Edmundoa,Edmundoa lindenii,medium
Elephant Ear Fern,Elaphoglossum crinitum,low
Winged Encyclia,Encyclia alata,high
Heart-lipped Encyclia,Encyclia cordigera,high
Florida Butterfly Orchid,Encyclia tampensis,high
Crucifix Orchid,Epidendrum ibaguense,high
Ground-rooting Epidendrum,Epidendrum radicans,high
Hooker's Orchid Cactus,Epiphyllum hookeri,medium
Orchid Cactus,Epiphyllum oxypetalum,medium
Climbing Cactus,Epiphyllum phyllanthus,medium
Silver Streak Pothos,Epipremnum amplissimum,medium
Golden pothos,Epipremnum aureum,low
Glacier Pothos,Epipremnum aureum 'Glacier',low
Global Green Pothos,Epipremnum aureum 'Global Green',low
Hawaiian Pothos,Epipremnum aureum 'Hawaiian',low
Jade Pothos,Epipremnum aureum 'Jade',low
Jessenia Pothos,Epipremnum aureum 'Jessenia',low
Manjula Pothos,Epipremnum aureum 'Manjula',low
Marble Queen Pothos,Epipremnum aureum 'Marble Queen',low
Pothos N'Joy,Epipremnum aureum 'N'Joy',medium
Devil's Ivy / Neon Pothos,Epipremnum aureum 'Neon',medium
Pearls and Jade Pothos,Epipremnum aureum 'Pearls and Jade',medium
Snow Queen Pothos,Epipremnum aureum 'Snow Queen',low
Variegated Golden Pothos,Epipremnum aureum 'Variegata',medium
Dragon Tail Plant,Epipremnum pinnatum,medium
Variegated Cebu Blue Pothos,Epipremnum pinnatum 'Albo Variegata',high
Baltic Blue Pothos,Epipremnum pinnatum 'Baltic Blue',medium
Cebu Blue Pothos,Epipremnum pinnatum 'Cebu Blue',medium
Shangri La Pothos,Epipremnum pinnatum 'Shangri La',medium
Flame Violet,Episcia cupreata,medium
Lace flower vine,Episcia dianthiflora,medium
Eranthemum,Eranthemum pulchellum,medium
Spiked Eria,Eria spicata,medium
Beehive cactus,Escobaria vivipara,very_high
Snow Pole Cactus,Espostoa lanata,very_high
Pineapple Lily,Eucomis comosa,high
Surinam Cherry,Eugenia uniflora,high
Guinea Orchid,Eulophia guineensis,medium
Pine Cone Euphorbia,Euphorbia bupleurifolia,high
Medusa's Head,Euphorbia caput-medusae,high
Decary's Euphorbia,Euphorbia decaryi,medium
Pincushion Euphorbia,Euphorbia enopla,high
Medusa's Head,Euphorbia flanaganii,very_high
Francois' Euphorbia,Euphorbia francoisii,medium
Cow's Horn,Euphorbia grandicornis,high
African Milk Barrel,Euphorbia horrida,very_high
Cowboy Cactus,Euphorbia ingens,very_high
Coral Cactus,Euphorbia lactea,high
Madagascar Jewel,Euphorbia leuconeura,high
Corncob Cactus,Euphorbia mammillaris,high
Crown of Thorns,Euphorbia milii,high
Indian Spurge Tree,Euphorbia neriifolia,high
Baseball Plant,Euphorbia obesa,very_high
Zigzag Euphorbia,Euphorbia pseudocactus,high
Poinsettia,Euphorbia pulcherrima,high
Moroccan Mound,Euphorbia resinifera,very_high
Starfish Euphorbia,Euphorbia stellata,high
Sticks on Fire / Pencil Cactus,Euphorbia tirucalli,high
Devil's backbone,Euphorbia tithymaloides,high
African Milk Tree,Euphorbia trigona,high
Persian violet,Exacum affine,medium
Chilean Bromeliad,Fascicularia bicolor,high
Japanese aralia,Fatsia japonica,medium
Taiwan Fatsia,Fatsia polycarpa,medium
Bossche's Jaws,Faucaria bosscheana,high
Cat's Jaws,Faucaria felina,high
Smooth Tiger Jaws,Faucaria gratiae,high
Tiger Jaws,Faucaria tigrina,very_high
Baby Toes,Fenestraria rhopalophylla,very_high
Arizona Barrel Cactus,Ferocactus cylindraceus,very_high
Emory's Barrel Cactus,Ferocactus emoryi,very_high
Blue Barrel Cactus,Ferocactus glaucescens,very_high
Turk's Head Barrel Cactus,Ferocactus hamatacanthus,very_high
Devil's Tongue Barrel,Ferocactus latispinus,very_high
Mexican Lime Cactus,Ferocactus pilosus,very_high
Fishhook Barrel Cactus,Ferocactus wislizeni,very_high
Council Tree,Ficus altissima,high
Clown Fig,Ficus aspera,high
Roxburgh Fig,Ficus auriculata,high
Audrey Ficus,Ficus benghalensis,high
Ficus Audrey (banyan fig),Ficus benghalensis 'Audrey',high
Weeping fig,Ficus benjamina,high
Variegated weeping fig,Ficus benjamina 'Starlight',high
African Fig Tree,Ficus cyathistipula,high
Highland Breadfruit Fig,Ficus dammaropsis,high
Mistletoe Fig,Ficus deltoidea,high
Rubber plant,Ficus elastica,high
Abidjan Rubber Plant,Ficus elastica 'Abidjan',high
Belize Rubber Plant,Ficus elastica 'Belize',high
Burgundy Rubber Tree,Ficus elastica 'Burgundy',high
Decora Rubber Plant,Ficus elastica 'Decora',high
Robusta Rubber Plant,Ficus elastica 'Robusta',high
Ruby Rubber Plant,Ficus elastica 'Ruby',high
Variegated Rubber Tree,Ficus elastica 'Tineke',high
Fiddle leaf fig,Ficus lyrata,high
Bambino Fiddle Leaf Fig,Ficus lyrata 'Bambino',high
Banana-Leaf Fig,Ficus maclellandii,high
Alii fig (banana-leaf / long-leaf fig),Ficus maclellandii 'Alii',high
Moreton Bay Fig,Ficus macrophylla,high
Indian Laurel Fig,Ficus microcarpa,high
Ginseng ficus (ginseng fig bonsai),Ficus microcarpa 'Ginseng',high
Natal Fig,Ficus natalensis,high
Willow leaf fig / Mexican fig,Ficus nerifolia,high
Rock Fig,Ficus petiolaris,high
Creeping Fig,Ficus pumila,medium
Oakleaf Creeping Fig,Ficus pumila 'Quercifolia',medium
Variegated creeping fig,Ficus pumila 'Snowflake',medium
Spotted Creeping Fig,Ficus punctata,medium
Variegated Creeping Fig,Ficus radicans,medium
Sacred Fig,Ficus religiosa,high
Tiger bark ficus / Taiwan ficus,Ficus retusa,high
Port Jackson Fig,Ficus rubiginosa,high
Rooting Fig,Ficus sagittata,medium
Willow leaf ficus,Ficus salicaria,high
String of Frogs,Ficus thunbergii,medium
Tikoua Fig,Ficus tikoua,medium
Triangle Fig,Ficus triangularis,high
Variegated triangle-leaf fig,Ficus triangularis 'Variegata',high
Common Red-stem Fig,Ficus variegata,high
Vasta Fig,Ficus vasta,high
Villous Fig,Ficus villosa,medium
Nerve plant,Fittonia albivenis,medium
White Nerve Plant,Fittonia albivenis 'Argyroneura',medium
Black Star nerve plant,Fittonia albivenis 'Black Star',medium
Frankie Nerve Plant,Fittonia albivenis 'Frankie',medium
Josan Nerve Plant,Fittonia albivenis 'Josan',medium
Nerve Plant (Mini White),Fittonia albivenis 'Mini White',medium
Pink Angel Nerve Plant,Fittonia albivenis 'Pink Angel',medium
Red Anne nerve plant,Fittonia albivenis 'Red Anne',medium
Superba Nerve Plant,Fittonia albivenis 'Superba',medium
White Anne nerve plant,Fittonia albivenis 'White Anne',medium
Strawberry,Fragaria ananassa,high
Dwarf frailea,Frailea castanea,high
Cataphract frailea,Frailea cataphracta,very_high
Pygmy frailea,Frailea pygmaea,high
White freesia,Freesia alba,high
Common Freesia,Freesia refracta,high
Florist's freesia,Freesia x hybrida,high
Crown imperial,Fritillaria imperialis,high
Snake's head fritillary,Fritillaria meleagris,medium
Bolivian fuchsia,Fuchsia boliviana,medium
Brilliant fuchsia,Fuchsia fulgens,medium
Hardy fuchsia,Fuchsia magellanica,medium
Creeping fuchsia,Fuchsia procumbens,medium
Honeysuckle fuchsia,Fuchsia triphylla,medium
Trailing fuchsia,Fuchsia x hybrida,medium
Mauritius hemp,Furcraea foetida,high
Bauer's Galeandra,Galeandra baueri,high
Hawaiian gardenia,Gardenia brighamii,high
Gardenia,Gardenia jasminoides,high
Tahitian gardenia,Gardenia taitensis,high
White gardenia,Gardenia thunbergia,high
Little Warty Gasteria,Gasteria 'Little Warty',high
Dune Gasteria,Gasteria acinacifolia,medium
Little Warty,Gasteria batesiana,medium
Ox Tongue,Gasteria bicolor,medium
Short-Leaved Gasteria,Gasteria brachyphylla,medium
Lawyer's Tongue / Cow Tongue,Gasteria carinata,medium
Two-Ranked Gasteria,Gasteria disticha,medium
Kouga Gasteria,Gasteria glomerata,medium
Shiny Gasteria,Gasteria nitida,medium
Pillans' Gasteria,Gasteria pillansii,medium
Slipper Gastrochilus,Gastrochilus calceolaris,medium
Treasure flower (gazania),Gazania rigens,high
Pin cushion gerbera,Gerbera ambigua,high
Hilton daisy,Gerbera aurantiaca,high
Cape Marigold Gerbera Daisy,Gerbera jamesonii,high
Green-leaved gerbera,Gerbera viridifolia,high
Bridal Veil Plant,Gibasis pellucida,medium
Glory Lily,Gloriosa superba,high
Calathea Beauty Star,Goeppertia 'Beauty Star',medium
Calathea Misto,Goeppertia 'Misto',medium
Calathea White Fusion,Goeppertia 'White Fusion',medium
Pin Stripe Bamburanta,Goeppertia bachemiana,medium
Calathea Freddie,Goeppertia concinna,medium
Eternal Flame Plant,Goeppertia crocata,medium
Calathea Vittata,Goeppertia elliptica,medium
Calathea Eximia,Goeppertia eximia,medium
Calathea Fasciata,Goeppertia fasciata,medium
Blue Grass Calathea,Goeppertia fucata,medium
Network Calathea,Goeppertia kegeljanii,medium
Calathea Network,Goeppertia kegeljanii 'Network',medium
Calathea Wavestar,Goeppertia leopardina,medium
Calathea White Fusion,Goeppertia lietzei,medium
Calathea Beauty Star,Goeppertia loeseneri,medium
Calathea Maui Queen,Goeppertia louisae,medium
Calathea 'Maui Queen',Goeppertia louisae 'Maui Queen',medium
Calathea 'Medaillon',Goeppertia louisae 'Medaillon',medium
White Star Calathea,Goeppertia majestica,medium
Peacock Plant,Goeppertia makoyana,medium
Mini Maranta Calathea,Goeppertia micans,medium
Orbifolia Prayer Plant,Goeppertia orbifolia,medium
Pin-Stripe Calathea,Goeppertia ornata,medium
Pinstripe Calathea,Goeppertia ornata 'Sanderiana',medium
Calathea Picturata,Goeppertia picturata,medium
Rose-Painted Calathea,Goeppertia roseopicta,medium
Calathea Corona,Goeppertia roseopicta 'Corona',medium
Calathea Dottie,Goeppertia roseopicta 'Dottie',medium
Calathea Medallion,Goeppertia roseopicta 'Medallion',medium
Calathea Princess Jessie,Goeppertia roseopicta 'Princess Jessie',medium
Calathea Rosy,Goeppertia roseopicta 'Rosy',medium
Furry Feather Calathea,Goeppertia rufibarba,medium
Calathea Sanderiana,Goeppertia sanderiana,medium
Wavy-Leaf Calathea,Goeppertia undulata,medium
Calathea Medallion,Goeppertia veitchiana,medium
Velvet Calathea,Goeppertia warscewiczii,medium
Calathea Wiotii,Goeppertia wiotii,medium
Globe Amaranth,Gomphrena globosa,high
Helmeted Gongora,Gongora galeata,medium
Tiger Aloe / Partridge Breast Aloe,Gonialoe variegata,high
Scribbled Grammatophyllum,Grammatophyllum scriptum,high
Lavender Pebbles,Graptopetalum amethystinum,very_high
Beautiful Graptopetalum,Graptopetalum bellum,very_high
Filifera Graptopetalum,Graptopetalum filiferum,very_high
MacDougall's Stonecrop,Graptopetalum macdougallii,very_high
Mendoza's Graptopetalum,Graptopetalum mendozae,very_high
Ghost Plant / Mother of Pearl Plant,Graptopetalum paraguayense,very_high
Pink Ghost Plant,Graptopetalum pentandrum,very_high
San Francisco River Leatherpetal,Graptopetalum rusbyi,very_high
Beautiful Graptopetalum,Graptopetalum superbum,very_high
Caricature plant,Graptophyllum pictum,high
Rose succulent,Greenovia dodrantalis,high
Orange Guarianthe,Guarianthe aurantiaca,high
Skinner's Cattleya,Guarianthe skinneri,high
Cone-headed Guzmania,Guzmania conifera,medium
Loose-flowered Guzmania,Guzmania dissitiflora,medium
Scarlet Star,Guzmania lingulata,medium
West Indian Tufted Airplant,Guzmania monostachia,medium
Mosaic Vase Plant,Guzmania musaica,medium
Blushing Bromeliad,Guzmania sanguinea,medium
Wittmack's Guzmania,Guzmania wittmackii,medium
Zahn's Guzmania,Guzmania zahnii,medium
Multiflowered chin cactus,Gymnocalycium anisitsii,high
Dwarf Chin Cactus,Gymnocalycium baldianum,high
Bald chin cactus,Gymnocalycium bruchii,high
Spider Cactus,Gymnocalycium denudatum,high
Gibbous Chin Cactus,Gymnocalycium gibbosum,high
Sea-green chin cactus,Gymnocalycium horstii,high
Chin Cactus,Gymnocalycium mihanovichii,high
Moon Cactus,Gymnocalycium mihanovichii friedrichii,high
Moon cactus (grafted Hibotan),Gymnocalycium mihanovichii var. friedrichii,high
Pflanz's chin cactus,Gymnocalycium pflanzii,high
Rotund chin cactus,Gymnocalycium quehlianum,high
Ragged chin cactus,Gymnocalycium ragonesei,high
Saglione's chin cactus,Gymnocalycium saglionis,high
Five-leaf ginseng,Gynostemma pentaphyllum,medium
Purple Passion Plant,Gynura aurantiaca,high
Glory of Texas hamatocactus,Hamatocactus uncinatus,very_high
Easter Cactus,Hatiora gaertneri,medium
Drunkard's Dream,Hatiora salicornioides,high
Spiderweb Haworthia,Haworthia arachnoidea,medium
Bolus' Haworthia,Haworthia bolusii,medium
Star Window Plant / Cushion Aloe,Haworthia cooperi,medium
Window Haworthia,Haworthia cymbiformis,medium
Deceiving Haworthia,Haworthia decipiens,medium
Emelye's Haworthia,Haworthia emelyae,medium
Maughan's Haworthia,Haworthia maughanii,medium
Mirabilis Haworthia,Haworthia mirabilis,medium
Pygmy Haworthia,Haworthia pygmaea,medium
Lime Green Haworthia,Haworthia retusa,medium
Springbok Haworthia,Haworthia springbokvlakensis,medium
Horse's Teeth,Haworthia truncata,medium
Turgid Haworthia,Haworthia turgida,medium
Zebra haworthia,Haworthiopsis attenuata,high
Coarctate Haworthia,Haworthiopsis coarctata,medium
Zebra Haworthia / Zebra Plant,Haworthiopsis fasciata,medium
Super White Zebra Haworthia,Haworthiopsis fasciata 'Super White',medium
Fairy Washboard,Haworthiopsis limifolia,medium
Black Haworthia,Haworthiopsis nigra,medium
Pearl Plant,Haworthiopsis pumila,high
Zebra Wart,Haworthiopsis reinwardtii,medium
Rough Haworthia,Haworthiopsis scabra,medium
Veined Haworthia,Haworthiopsis tessellata,medium
Sticky Haworthia,Haworthiopsis viscosa,medium
Silver Hechtia,Hechtia argentea,very_high
Algerian Ivy,Hedera algeriensis,medium
Variegated Algerian Ivy,Hedera algeriensis 'Gloire de Marengo',medium
Persian Ivy,Hedera colchica,medium
English ivy,Hedera helix,medium
Eva English Ivy,Hedera helix 'Eva',medium
Glacier English Ivy,Hedera helix 'Glacier',medium
Gold Child Ivy,Hedera helix 'Gold Child',medium
Ivalace Ivy,Hedera helix 'Ivalace',medium
Needlepoint Ivy,Hedera helix 'Needlepoint',medium
Sun pitcher (heliamphora),Heliamphora minor,very_high
Marsh pitcher plant,Heliamphora nutans,high
Curry Plant,Helichrysum italicum,very_high
Garden heliotrope,Heliotropium arborescens,high
Purple Waffle Plant,Hemigraphis alternata,medium
Heart Fern,Hemionitis arifolia,medium
Umbrella tree,Heptapleurum actinophyllum,medium
Hawaiian umbrella tree,Heptapleurum arboricola,medium
Cranberry hibiscus,Hibiscus acetosella,high
Chinese Hibiscus,Hibiscus rosa-sinensis,high
Japanese lantern hibiscus,Hibiscus schizopetalus,high
Spider amaryllis,Hippeastrum cybister,high
Amaryllis,Hippeastrum hybridum,high
Papilio amaryllis,Hippeastrum papilio,high
Barbados lily,Hippeastrum puniceum,high
Reginae amaryllis,Hippeastrum reginae,high
Royal Dutch amaryllis,Hippeastrum vittatum,high
Kimball's Holcoglossum,Holcoglossum kimballianum,high
Lemon Lime Homalomena,Homalomena 'Lemon Lime',medium
Emerald Gem,Homalomena lindenii,medium
Trailing Homalomena,Homalomena pendula,medium
Red Shield Homalomena,Homalomena rubescens,medium
Silver Shield,Homalomena wallisii,medium
Curly Palm,Howea belmoreana,medium
