# What the published sources actually say about indoor light — 562 rows from 80 publishers — compilation CC BY 4.0 (https://creativecommons.org/licenses/by/4.0/) — attribution: GrowSpot — growspotapp.com
# Quotes remain the property of the publisher named in each row.
publisher,source_url,appears_on,subject,value_as_published,quote,read_on
extension.arizona.edu,https://extension.arizona.edu/publication/indoor-plant-selection-and-care,https://growspotapp.com/guides/why-is-my-plant-dying-in-a-bright-room/,The figure,150–1000 fc,"""In general, there are three categories of light intensity for interior plants: high, 150–1000 foot-candles (fc); medium 75–150 fc; and low, 25–75 fc.""",30 August 2026
extension.arizona.edu,https://extension.arizona.edu/publication/indoor-plant-selection-and-care,https://growspotapp.com/guides/why-is-my-plant-dying-in-a-bright-room/,The figure,More than eight feet,"""Low Light: areas more than eight feet from windows as in the center of a room, a hallway or an inside wall.""",30 August 2026
extension.illinois.edu,https://extension.illinois.edu/blogs/flowers-fruits-and-frass/2021-01-08-herbs-all-winter-grow-them-indoors,https://growspotapp.com/guides/kitchen-plants/,What it asks for,At least 6 hours,"""Most herbs will need at least six hours of direct sunlight every day.""",30 August 2026
extension.illinois.edu,https://extension.illinois.edu/blogs/flowers-fruits-and-frass/2021-01-08-herbs-all-winter-grow-them-indoors,https://growspotapp.com/guides/kitchen-plants/,What it asks for,No number given,"""High levels of light are necessary to ensure the plants do not get leggy and spindly.""",30 August 2026
extension.illinois.edu,https://extension.illinois.edu/blogs/over-garden-fence/2021-12-20-make-sure-houseplants-get-enough-light-winter,https://growspotapp.com/guides/bedroom-plants/,What it gives a north window,75 foot-candles,"""Low light levels (sometimes referred to as 75 foot-candles) come from not getting any direct light, such as a north window or being 8 feet or more away from any other light source.""",30 August 2026
extension.illinois.edu,https://extension.illinois.edu/houseplants/lighting,https://growspotapp.com/guides/are-light-meter-apps-accurate/,What it measures in,Foot-candles,"Its bands: ""Low Light (75 foot candles)"" through ""Direct (1500 foot candles)"".",30 August 2026
extension.illinois.edu,https://extension.illinois.edu/houseplants/lighting,https://growspotapp.com/guides/dark-corner-plants/,What it says about a corner,75 fc,"Its low band is ""Low Light (75 foot candles)"", against ""Outdoors…10,000 to 12,000 foot-candles.""",30 August 2026
extension.illinois.edu,https://extension.illinois.edu/houseplants/lighting,https://growspotapp.com/guides/east-facing-window-plants/,The figure,"Distance, per wall","Its low band is reached at ""North window: a few feet away"" but only at ""South window:15-20 feet away""; its medium band at ""North window: directly in front"" and ""South window: 3-10 feet away"".",30 August 2026
extension.illinois.edu,https://extension.illinois.edu/houseplants/lighting,https://growspotapp.com/guides/east-facing-window-plants/,The figure,High: 300 fc,"""High or Bright Light (300 foot candles)"", at ""East/west window: directly in front"" or ""South window: up to 5 feet away"".",30 August 2026
extension.illinois.edu,https://extension.illinois.edu/houseplants/lighting,https://growspotapp.com/guides/full-sun-indoor-plants/,The figure,"10,000–12,000 fc","""Outdoors, the amount of sunlight that is cast may be 10,000 to 12,000 foot-candles.""",30 August 2026
extension.illinois.edu,https://extension.illinois.edu/houseplants/lighting,https://growspotapp.com/guides/full-sun-indoor-plants/,The figure,Direct: 1500 fc,"""Direct (1500 foot candles)"", reached at ""South window: directly in front"".",30 August 2026
extension.illinois.edu,https://extension.illinois.edu/houseplants/lighting,https://growspotapp.com/guides/how-bright-is-the-middle-of-a-room/,What it says about distance,"Distance, per wall","For its low band: ""North window: a few feet away"" but ""South window:15-20 feet away"".",30 August 2026
extension.illinois.edu,https://extension.illinois.edu/houseplants/lighting,https://growspotapp.com/guides/how-far-from-a-window-can-plants-live/,The distance it gives,Depends on the wall,"Its low band sits at ""North window: a few feet away"" but at ""South window:15-20 feet away"".",30 August 2026
extension.illinois.edu,https://extension.illinois.edu/houseplants/lighting,https://growspotapp.com/guides/how-many-foot-candles-is-bright-indirect-light/,The bands it gives,"10,000–12,000 fc","""Outdoors, the amount of sunlight that is cast may be 10,000 to 12,000 foot-candles.""",30 August 2026
extension.illinois.edu,https://extension.illinois.edu/houseplants/lighting,https://growspotapp.com/guides/how-many-foot-candles-is-bright-indirect-light/,The bands it gives,75 / 150 / 300 / 1500 fc,"Its four bands, verbatim: ""Low Light (75 foot candles)"", ""Medium (average) Light (150 foot candles)"", ""High or Bright Light (300 foot candles)"", ""Direct (1500 foot candles)"".",30 August 2026
extension.illinois.edu,https://extension.illinois.edu/houseplants/lighting,https://growspotapp.com/guides/how-many-foot-candles-is-bright-indirect-light/,The bands it gives,"Distance, per wall","For its low band: ""North window: a few feet away"" but ""South window:15-20 feet away"".",30 August 2026
extension.illinois.edu,https://extension.illinois.edu/houseplants/lighting,https://growspotapp.com/guides/how-many-lux-do-plants-need/,The figure,75 / 150 / 300 / 1500 fc,"Its four bands, verbatim: ""Low Light (75 foot candles)"", ""Medium (average) Light (150 foot candles)"", ""High or Bright Light (300 foot candles)"", ""Direct (1500 foot candles)"".",30 August 2026
extension.illinois.edu,https://extension.illinois.edu/houseplants/lighting,https://growspotapp.com/guides/how-much-light-does-a-jade-plant-need/,Where the top band starts,"10,000–12,000 fc","Outdoors, on the same page: ""Outdoors, the amount of sunlight that is cast may be 10,000 to 12,000 foot-candles.""",30 August 2026
extension.illinois.edu,https://extension.illinois.edu/houseplants/lighting,https://growspotapp.com/guides/how-much-light-does-a-jade-plant-need/,Where the top band starts,300 fc,"""High or Bright Light (300 foot candles)"", and above it a separate band: ""Direct (1500 foot candles)"".",30 August 2026
extension.illinois.edu,https://extension.illinois.edu/houseplants/lighting,https://growspotapp.com/guides/how-to-know-which-way-my-window-faces/,What it attaches to the direction,High and direct,"""East/west window: directly in front""; ""South window: up to 5 feet away""; and for direct light, ""South window: directly in front"".",30 August 2026
extension.illinois.edu,https://extension.illinois.edu/houseplants/lighting,https://growspotapp.com/guides/how-to-know-which-way-my-window-faces/,What it attaches to the direction,Low light,"""North window: a few feet away""; ""East/West window: 3-10 feet away""; ""South window:15-20 feet away"".",30 August 2026
extension.illinois.edu,https://extension.illinois.edu/houseplants/lighting,https://growspotapp.com/guides/how-to-know-which-way-my-window-faces/,What it attaches to the direction,Medium light,"""North window: directly in front""; ""East/west window: a few feet away""; ""South window: 3-10 feet away"".",30 August 2026
extension.illinois.edu,https://extension.illinois.edu/houseplants/lighting,https://growspotapp.com/guides/is-my-plant-getting-enough-light/,The floor it gives,75 / 150 / 300 / 1500 fc,"Its four bands, verbatim: ""Low Light (75 foot candles)"", ""Medium (average) Light (150 foot candles)"", ""High or Bright Light (300 foot candles)"", ""Direct (1500 foot candles)"".",30 August 2026
extension.illinois.edu,https://extension.illinois.edu/houseplants/lighting,https://growspotapp.com/guides/low-light-plants-that-survive/,The figure,75 / 150 / 300 / 1500 fc,"Its four bands, verbatim: ""Low Light (75 foot candles)"", ""Medium (average) Light (150 foot candles)"", ""High or Bright Light (300 foot candles)"", ""Direct (1500 foot candles)"".",30 August 2026
extension.illinois.edu,https://extension.illinois.edu/houseplants/lighting,https://growspotapp.com/guides/north-facing-window-plants/,The figure,"Distance, per wall","Its low band is reached at ""North window: a few feet away"" but only at ""South window:15-20 feet away""; its medium band at ""North window: directly in front"" and ""South window: 3-10 feet away"".",30 August 2026
extension.illinois.edu,https://extension.illinois.edu/houseplants/lighting,https://growspotapp.com/guides/plants-for-a-basement/,The figure,75 foot-candles,"""Low Light (75 foot candles)"", against ""Outdoors, the amount of sunlight that is cast may be 10,000 to 12,000 foot-candles.""",30 August 2026
extension.illinois.edu,https://extension.illinois.edu/houseplants/lighting,https://growspotapp.com/guides/plants-for-a-hallway/,Where low light starts,75 foot-candles,"Its low band is ""Low Light (75 foot candles)"", reached at ""North window: a few feet away"" but only at ""South window:15-20 feet away"".",30 August 2026
extension.illinois.edu,https://extension.illinois.edu/houseplants/lighting,https://growspotapp.com/guides/south-facing-window-plants/,The figure,"10,000–12,000 fc","""Outdoors, the amount of sunlight that is cast may be 10,000 to 12,000 foot-candles.""",30 August 2026
extension.illinois.edu,https://extension.illinois.edu/houseplants/lighting,https://growspotapp.com/guides/south-facing-window-plants/,The figure,Direct: 1500 fc,"""Direct (1500 foot candles)"", reached at ""South window: directly in front"".",30 August 2026
extension.illinois.edu,https://extension.illinois.edu/houseplants/lighting,https://growspotapp.com/guides/south-facing-window-plants/,The figure,"Distance, per wall","Its low band is reached at ""North window: a few feet away"" but only at ""South window:15-20 feet away""; its medium band at ""North window: directly in front"" and ""South window: 3-10 feet away"".",30 August 2026
extension.illinois.edu,https://extension.illinois.edu/houseplants/lighting,https://growspotapp.com/guides/south-facing-window-plants/,The figure,High: 300 fc,"""High or Bright Light (300 foot candles)"", at ""East/west window: directly in front"" or ""South window: up to 5 feet away"".",30 August 2026
extension.illinois.edu,https://extension.illinois.edu/houseplants/lighting,https://growspotapp.com/guides/west-facing-window-plants/,The figure,"10,000–12,000 fc","""Outdoors, the amount of sunlight that is cast may be 10,000 to 12,000 foot-candles.""",30 August 2026
extension.illinois.edu,https://extension.illinois.edu/houseplants/lighting,https://growspotapp.com/guides/west-facing-window-plants/,The figure,"Distance, per wall","Its low band is reached at ""North window: a few feet away"" but only at ""South window:15-20 feet away""; its medium band at ""North window: directly in front"" and ""South window: 3-10 feet away"".",30 August 2026
extension.illinois.edu,https://extension.illinois.edu/houseplants/lighting,https://growspotapp.com/guides/west-facing-window-plants/,The figure,High: 300 fc,"""High or Bright Light (300 foot candles)"", at ""East/west window: directly in front"" or ""South window: up to 5 feet away"".",30 August 2026
extension.illinois.edu,https://extension.illinois.edu/houseplants/lighting,https://growspotapp.com/guides/why-iphone-light-meter-apps-disagree/,What it measures in,Foot-candles,"Its bands: ""Low Light (75 foot candles)"" through ""Direct (1500 foot candles)"".",30 August 2026
extension.illinois.edu,https://extension.illinois.edu/houseplants/lighting,https://growspotapp.com/guides/why-is-my-plant-dying-in-a-bright-room/,The figure,"10,000–12,000 fc","Outdoors: ""Outdoors, the amount of sunlight that is cast may be 10,000 to 12,000 foot-candles.""",30 August 2026
extension.illinois.edu,https://extension.illinois.edu/houseplants/lighting,https://growspotapp.com/guides/why-is-my-plant-dying-in-a-bright-room/,The figure,300 fc,"Indoors, the same page's top band: ""High or Bright Light (300 foot candles)"".",30 August 2026
extension.illinois.edu,https://extension.illinois.edu/houseplants/repotting,https://growspotapp.com/guides/when-to-repot-a-houseplant/,What it says,Spring or early summer,"""Re-potting is best accomplished when the plant is actively growing. Typically this is done in spring or early summer.""",30 August 2026
extension.illinois.edu,https://extension.illinois.edu/houseplants/repotting,https://growspotapp.com/guides/when-to-repot-a-houseplant/,What it says,The drying test,"""The plant wilts between normal waterings.""",30 August 2026
extension.illinois.edu,https://extension.illinois.edu/houseplants/repotting,https://growspotapp.com/guides/when-to-repot-a-plant-after-buying/,When it says to repot,On the roots,"""Roots begin to grow through the drainage holes""; ""Roots appear on the soil surface""; ""The soil mass is filled with roots.""",30 August 2026
extension.illinois.edu,https://extension.illinois.edu/houseplants/repotting,https://growspotapp.com/guides/when-to-repot-a-plant-after-buying/,When it says to repot,Spring or early summer,"""Re-potting is best accomplished when the plant is actively growing. Typically this is done in spring or early summer.""",30 August 2026
extension.illinois.edu,https://extension.illinois.edu/news-releases/keep-houseplants-happy-simple-solutions,https://growspotapp.com/guides/why-is-my-plant-leaning/,What it says the shape means,Reaching,"""Leggy, or stretching plants occur when they are reaching for more light.""",30 August 2026
extension.illinois.edu,https://extension.illinois.edu/news-releases/keep-houseplants-happy-simple-solutions,https://growspotapp.com/guides/why-is-my-plant-not-growing/,How many causes it names,13,"""Leggy, or stretching plants occur when they are reaching for more light.""",30 August 2026
extension.illinois.edu,https://extension.illinois.edu/news-releases/protect-your-pets-keep-paws-overwintering-indoor-plants,https://growspotapp.com/guides/hanging-plants-safe-for-cats/,What it says about where the plant sits,Hanging is the fix,"""Hang plants out of reach of pets.""",30 August 2026
extension.msstate.edu,https://extension.msstate.edu/publications/care-selection-indoor-plants,https://growspotapp.com/guides/are-light-meter-apps-accurate/,What it measures in,"Foot-candles, third scale","""High represents light conditions that are 1,000 or more foot-candles in intensity"", ""low represents 50 to 500 foot-candles"".",30 August 2026
extension.msstate.edu,https://extension.msstate.edu/publications/care-selection-indoor-plants,https://growspotapp.com/guides/bathroom-plants/,What it says,And where it stops,"""Usually, an intensity of less than 50 foot-candles will not sustain plant life for very long.""",30 August 2026
extension.msstate.edu,https://extension.msstate.edu/publications/care-selection-indoor-plants,https://growspotapp.com/guides/dark-corner-plants/,What it says about a corner,"1,000 fc, then 100 a few feet in","How fast a corner gets there: Not a floor but a falloff, from the same source: ""The intensity of the light can drop from 1,000 to 100 foot-candles in the distance of only a few feet.""",30 August 2026
extension.msstate.edu,https://extension.msstate.edu/publications/care-selection-indoor-plants,https://growspotapp.com/guides/dark-corner-plants/,What it says about a corner,8 or 10 feet,"""It is difficult to grow plants in dimly lit areas more than 8 or 10 feet from windows."" It names ""corners, bookcases, tables, or rooms with no windows at all"".",30 August 2026
extension.msstate.edu,https://extension.msstate.edu/publications/care-selection-indoor-plants,https://growspotapp.com/guides/dark-corner-plants/,What it says about a corner,Under 50 fc,"""Usually, an intensity of less than 50 foot-candles will not sustain plant life for very long.""",30 August 2026
extension.msstate.edu,https://extension.msstate.edu/publications/care-selection-indoor-plants,https://growspotapp.com/guides/east-facing-window-plants/,The figure,"1,000 fc, then 100 a few feet in","Not a floor but a falloff, from the same source: ""The intensity of the light can drop from 1,000 to 100 foot-candles in the distance of only a few feet.""",30 August 2026
extension.msstate.edu,https://extension.msstate.edu/publications/care-selection-indoor-plants,https://growspotapp.com/guides/full-sun-indoor-plants/,The figure,"1,000 fc, then 100 a few feet in","Not a floor but a falloff, from the same source: ""The intensity of the light can drop from 1,000 to 100 foot-candles in the distance of only a few feet.""",30 August 2026
extension.msstate.edu,https://extension.msstate.edu/publications/care-selection-indoor-plants,https://growspotapp.com/guides/how-bright-is-the-middle-of-a-room/,What it says about distance,"1,000 fc, then 100 a few feet in","Not a floor but a falloff, from the same source: ""The intensity of the light can drop from 1,000 to 100 foot-candles in the distance of only a few feet.""",30 August 2026
extension.msstate.edu,https://extension.msstate.edu/publications/care-selection-indoor-plants,https://growspotapp.com/guides/how-bright-is-the-middle-of-a-room/,What it says about distance,Under 50 fc,"""Usually, an intensity of less than 50 foot-candles will not sustain plant life for very long.""",30 August 2026
extension.msstate.edu,https://extension.msstate.edu/publications/care-selection-indoor-plants,https://growspotapp.com/guides/how-far-from-a-window-can-plants-live/,The distance it gives,8 or 10 feet,"""It is difficult to grow plants in dimly lit areas more than 8 or 10 feet from windows.""",30 August 2026
extension.msstate.edu,https://extension.msstate.edu/publications/care-selection-indoor-plants,https://growspotapp.com/guides/how-far-from-a-window-can-plants-live/,The distance it gives,A few feet,"Not a floor but a falloff, from the same source: ""The intensity of the light can drop from 1,000 to 100 foot-candles in the distance of only a few feet.""",30 August 2026
extension.msstate.edu,https://extension.msstate.edu/publications/care-selection-indoor-plants,https://growspotapp.com/guides/how-many-foot-candles-is-bright-indirect-light/,The bands it gives,"50–500 / 500–1,000 / 1,000+ fc","""High represents light conditions that are 1,000 or more foot-candles in intensity"", ""medium represents 500 to 1,000 foot-candles"", ""low represents 50 to 500 foot-candles"" — and the same page also heads sections at 25–75, 75–150 and 150–1,000.",30 August 2026
extension.msstate.edu,https://extension.msstate.edu/publications/care-selection-indoor-plants,https://growspotapp.com/guides/how-many-lux-do-plants-need/,The figure,"50–500 / 500–1,000 / 1,000+ fc","""High represents light conditions that are 1,000 or more foot-candles in intensity"", ""medium represents 500 to 1,000 foot-candles"", ""low represents 50 to 500 foot-candles"" — and the same page also heads sections at 25–75, 75–150 and 150–1,000.",30 August 2026
extension.msstate.edu,https://extension.msstate.edu/publications/care-selection-indoor-plants,https://growspotapp.com/guides/how-much-light-does-a-jade-plant-need/,Where the top band starts,"1,000 fc and up","""High represents light conditions that are 1,000 or more foot-candles in intensity"" — while the same page also heads a section ""High Light (150 to 1,000 foot-candles)"".",30 August 2026
extension.msstate.edu,https://extension.msstate.edu/publications/care-selection-indoor-plants,https://growspotapp.com/guides/how-much-light-does-a-jade-plant-need/,Where the top band starts,"1,000 fc, then 100 a few feet in","How quickly the indoor figure falls: Not a floor but a falloff, from the same source: ""The intensity of the light can drop from 1,000 to 100 foot-candles in the distance of only a few feet.""",30 August 2026
extension.msstate.edu,https://extension.msstate.edu/publications/care-selection-indoor-plants,https://growspotapp.com/guides/how-to-know-which-way-my-window-faces/,What it attaches to the direction,Beyond that,"""It is difficult to grow plants in dimly lit areas more than 8 or 10 feet from windows.""",30 August 2026
extension.msstate.edu,https://extension.msstate.edu/publications/care-selection-indoor-plants,https://growspotapp.com/guides/how-to-measure-light-for-plants/,What it measures,"1,000 fc, then 100 a few feet in","Not a floor but a falloff, from the same source: ""The intensity of the light can drop from 1,000 to 100 foot-candles in the distance of only a few feet.""",30 August 2026
extension.msstate.edu,https://extension.msstate.edu/publications/care-selection-indoor-plants,https://growspotapp.com/guides/is-my-plant-getting-enough-light/,The floor it gives,"1,000 fc, then 100 a few feet in","Not a floor but a falloff, from the same source: ""The intensity of the light can drop from 1,000 to 100 foot-candles in the distance of only a few feet.""",30 August 2026
extension.msstate.edu,https://extension.msstate.edu/publications/care-selection-indoor-plants,https://growspotapp.com/guides/is-my-plant-getting-enough-light/,The floor it gives,Under 50 fc,"""Usually, an intensity of less than 50 foot-candles will not sustain plant life for very long.""",30 August 2026
extension.msstate.edu,https://extension.msstate.edu/publications/care-selection-indoor-plants,https://growspotapp.com/guides/low-light-plants-that-survive/,The figure,1 to 3 feet,"""For best results, most plants grown under artificial light must be grown within 1 to 3 feet from the light source.""",30 August 2026
extension.msstate.edu,https://extension.msstate.edu/publications/care-selection-indoor-plants,https://growspotapp.com/guides/low-light-plants-that-survive/,The figure,Under 50 fc,"""Usually, an intensity of less than 50 foot-candles will not sustain plant life for very long.""",30 August 2026
extension.msstate.edu,https://extension.msstate.edu/publications/care-selection-indoor-plants,https://growspotapp.com/guides/north-facing-window-plants/,The figure,8 or 10 feet,"""It is difficult to grow plants in dimly lit areas more than 8 or 10 feet from windows.""",30 August 2026
extension.msstate.edu,https://extension.msstate.edu/publications/care-selection-indoor-plants,https://growspotapp.com/guides/office-desk-plants/,The figure,Under 50 fc,"""Usually, an intensity of less than 50 foot-candles will not sustain plant life for very long.""",30 August 2026
extension.msstate.edu,https://extension.msstate.edu/publications/care-selection-indoor-plants,https://growspotapp.com/guides/plants-for-a-basement/,The figure,1 to 3 feet,"On lamps: ""For best results, most plants grown under artificial light must be grown within 1 to 3 feet from the light source"".",30 August 2026
extension.msstate.edu,https://extension.msstate.edu/publications/care-selection-indoor-plants,https://growspotapp.com/guides/plants-for-a-basement/,The figure,50 to 500 fc,"Its low band: ""low represents 50 to 500 foot-candles"".",30 August 2026
extension.msstate.edu,https://extension.msstate.edu/publications/care-selection-indoor-plants,https://growspotapp.com/guides/plants-for-a-basement/,The figure,Below 50 fc,"The floor: ""Usually, an intensity of less than 50 foot-candles will not sustain plant life for very long"".",30 August 2026
extension.msstate.edu,https://extension.msstate.edu/publications/care-selection-indoor-plants,https://growspotapp.com/guides/plants-for-a-hallway/,Where low light starts,"1,000 fc, then 100 a few feet in","How fast it goes: Not a floor but a falloff, from the same source: ""The intensity of the light can drop from 1,000 to 100 foot-candles in the distance of only a few feet.""",30 August 2026
extension.msstate.edu,https://extension.msstate.edu/publications/care-selection-indoor-plants,https://growspotapp.com/guides/plants-for-a-hallway/,Where low light starts,8 or 10 feet,"""It is difficult to grow plants in dimly lit areas more than 8 or 10 feet from windows.""",30 August 2026
extension.msstate.edu,https://extension.msstate.edu/publications/care-selection-indoor-plants,https://growspotapp.com/guides/plants-for-a-hallway/,Where low light starts,Below 50 fc,"Where it stops being a light question at all: ""Usually, an intensity of less than 50 foot-candles will not sustain plant life for very long"".",30 August 2026
extension.msstate.edu,https://extension.msstate.edu/publications/care-selection-indoor-plants,https://growspotapp.com/guides/plants-for-a-room-with-no-windows/,The figure,1 to 3 feet,"""For best results, most plants grown under artificial light must be grown within 1 to 3 feet from the light source.""",30 August 2026
extension.msstate.edu,https://extension.msstate.edu/publications/care-selection-indoor-plants,https://growspotapp.com/guides/plants-for-a-room-with-no-windows/,The figure,8 or 10 feet,"""It is difficult to grow plants in dimly lit areas more than 8 or 10 feet from windows.""",30 August 2026
extension.msstate.edu,https://extension.msstate.edu/publications/care-selection-indoor-plants,https://growspotapp.com/guides/plants-for-a-room-with-no-windows/,The figure,Under 50 fc,"""Usually, an intensity of less than 50 foot-candles will not sustain plant life for very long.""",30 August 2026
extension.msstate.edu,https://extension.msstate.edu/publications/care-selection-indoor-plants,https://growspotapp.com/guides/west-facing-window-plants/,The figure,"1,000 fc, then 100 a few feet in","Not a floor but a falloff, from the same source: ""The intensity of the light can drop from 1,000 to 100 foot-candles in the distance of only a few feet.""",30 August 2026
extension.msstate.edu,https://extension.msstate.edu/publications/care-selection-indoor-plants,https://growspotapp.com/guides/why-iphone-light-meter-apps-disagree/,What it measures in,"Foot-candles, third scale","""High represents light conditions that are 1,000 or more foot-candles in intensity"", ""low represents 50 to 500 foot-candles"".",30 August 2026
extension.msstate.edu,https://extension.msstate.edu/publications/care-selection-indoor-plants,https://growspotapp.com/guides/why-is-my-plant-dying-in-a-bright-room/,The figure,"1,000 fc and up","""High represents light conditions that are 1,000 or more foot-candles in intensity"" — the same page also heads a section ""High Light (150 to 1,000 foot-candles)"".",30 August 2026
extension.msstate.edu,https://extension.msstate.edu/publications/care-selection-indoor-plants,https://growspotapp.com/guides/why-is-my-plant-dying-in-a-bright-room/,The figure,"1,000 fc, then 100 a few feet in","Not a floor but a falloff, from the same source: ""The intensity of the light can drop from 1,000 to 100 foot-candles in the distance of only a few feet.""",30 August 2026
extension.msstate.edu,https://extension.msstate.edu/publications/care-selection-indoor-plants,https://growspotapp.com/guides/why-is-my-plant-dying-in-a-bright-room/,The figure,Under 50 fc,"""Usually, an intensity of less than 50 foot-candles will not sustain plant life for very long"".",30 August 2026
extension.psu.edu,https://extension.psu.edu/growing-herbs-indoors,https://growspotapp.com/guides/kitchen-plants/,What it asks for,2 to 6 hours,"The exceptions it names: ""These herbs can tolerate low light levels and only need 2 to 6 hours of direct sunlight: Lemon balm, Chives, Cilantro"".",30 August 2026
extension.psu.edu,https://extension.psu.edu/growing-herbs-indoors,https://growspotapp.com/guides/kitchen-plants/,What it asks for,6 hours,"""Most herbs need 6 hours of direct sunlight.""",30 August 2026
extension.psu.edu,https://extension.psu.edu/growing-herbs-indoors,https://growspotapp.com/guides/kitchen-plants/,What it asks for,Off the sill below 50 °F,"""basil cannot survive temperatures lower than 50°F and should not be kept on windowsills during winter months"".",30 August 2026
extension.psu.edu,https://extension.psu.edu/humidity-and-houseplants,https://growspotapp.com/guides/can-i-put-a-plant-in-the-shower/,What it measures,A spike lasts until it evaporates,"""After a plant is misted, a rise in humidity only lasts until the water evaporates.""",30 August 2026
extension.psu.edu,https://extension.psu.edu/humidity-and-houseplants,https://growspotapp.com/guides/can-i-put-a-plant-in-the-shower/,What it measures,And the light is the drawback,"""One drawback is that bathrooms often lack the appropriate light source for a houseplant.""",30 August 2026
extension.psu.edu,https://extension.psu.edu/humidity-and-houseplants,https://growspotapp.com/guides/ideal-humidity-for-houseplants/,The figure it gives,30% to 60%,"ASHRAE's range as quoted: ""indoor relative humidity (RH) be maintained between 30% and 60%"", against which ""indoor relative humidity levels can easily fall below 30%"" in winter.",30 August 2026
extension.psu.edu,https://extension.psu.edu/humidity-and-houseplants,https://growspotapp.com/guides/plants-for-dry-air/,What it says plants need,Above what a heated home gives,"""most indoor plants benefit from a humidity level higher than what is typical for a home heated in winter"", where ""indoor relative humidity levels can easily fall below 30%"".",30 August 2026
extension.psu.edu,https://extension.psu.edu/humidity-and-houseplants,https://growspotapp.com/guides/plants-near-a-radiator/,What it says,30% to 60%,"ASHRAE's range, as quoted: ""indoor relative humidity (RH) be maintained between 30% and 60%"".",30 August 2026
extension.psu.edu,https://extension.psu.edu/humidity-and-houseplants,https://growspotapp.com/guides/plants-near-a-radiator/,What it says,Below 30%,"""indoor relative humidity levels can easily fall below 30%"" during the heating season.",30 August 2026
extension.psu.edu,https://extension.psu.edu/humidity-and-houseplants,https://growspotapp.com/guides/why-are-my-plants-dying-in-winter/,The figure,Below 30%,"""indoor relative humidity levels can easily fall below 30%"" during the heating season.",30 August 2026
extension.psu.edu,https://extension.psu.edu/low-light-houseplants,https://growspotapp.com/guides/are-light-meter-apps-accurate/,What it measures in,"25 fc, measured","""the reading for the snake plant measured as low as 25-foot candles in mid-morning"", against ""a common baseline for low light is 100 footcandles.""",30 August 2026
extension.psu.edu,https://extension.psu.edu/low-light-houseplants,https://growspotapp.com/guides/are-light-meter-apps-accurate/,What it measures in,Both units,"""The light meter I purchased reads both foot candles and the metric measurement of lux.""",30 August 2026
extension.psu.edu,https://extension.psu.edu/low-light-houseplants,https://growspotapp.com/guides/dark-corner-plants/,What it says about a corner,100 footcandles,"""a common baseline for low light is 100 footcandles"", with one measured spot ""as low as 25-foot candles in mid-morning"".",30 August 2026
extension.psu.edu,https://extension.psu.edu/low-light-houseplants,https://growspotapp.com/guides/east-facing-window-plants/,The figure,100 footcandles,"""a common baseline for low light is 100 footcandles.""",30 August 2026
extension.psu.edu,https://extension.psu.edu/low-light-houseplants,https://growspotapp.com/guides/how-many-foot-candles-is-bright-indirect-light/,The bands it gives,100 footcandles,"""a common baseline for low light is 100 footcandles"", with one plant's own spot measured ""as low as 25-foot candles in mid-morning"".",30 August 2026
extension.psu.edu,https://extension.psu.edu/low-light-houseplants,https://growspotapp.com/guides/how-many-lux-do-plants-need/,The figure,Both units,"""The light meter I purchased reads both foot candles and the metric measurement of lux.""",30 August 2026
extension.psu.edu,https://extension.psu.edu/low-light-houseplants,https://growspotapp.com/guides/how-to-measure-light-for-plants/,What it measures,100 footcandles,"""a common baseline for low light is 100 footcandles"", with one plant's own spot measured ""as low as 25-foot candles in mid-morning"".",30 August 2026
extension.psu.edu,https://extension.psu.edu/low-light-houseplants,https://growspotapp.com/guides/how-to-measure-light-for-plants/,What it measures,Both units,"""The light meter I purchased reads both foot candles and the metric measurement of lux.""",30 August 2026
extension.psu.edu,https://extension.psu.edu/low-light-houseplants,https://growspotapp.com/guides/is-my-plant-getting-enough-light/,The floor it gives,100 footcandles,"""a common baseline for low light is 100 footcandles"", with one plant's own spot measured ""as low as 25-foot candles in mid-morning"".",30 August 2026
extension.psu.edu,https://extension.psu.edu/low-light-houseplants,https://growspotapp.com/guides/low-light-plants-that-survive/,The figure,100 footcandles,"""a common baseline for low light is 100 footcandles"", with one plant's own spot measured ""as low as 25-foot candles in mid-morning"".",30 August 2026
extension.psu.edu,https://extension.psu.edu/low-light-houseplants,https://growspotapp.com/guides/north-facing-window-plants/,The figure,100 footcandles,"""a common baseline for low light is 100 footcandles.""",30 August 2026
extension.psu.edu,https://extension.psu.edu/low-light-houseplants,https://growspotapp.com/guides/office-desk-plants/,The figure,100 footcandles,"""a common baseline for low light is 100 footcandles"" — roughly a thousand lux, which is above what the office figures above describe.",30 August 2026
extension.psu.edu,https://extension.psu.edu/low-light-houseplants,https://growspotapp.com/guides/plants-for-a-basement/,The figure,100 footcandles,"""a common baseline for low light is 100 footcandles"", with one snake plant's own spot measured ""as low as 25-foot candles in mid-morning"".",30 August 2026
extension.psu.edu,https://extension.psu.edu/low-light-houseplants,https://growspotapp.com/guides/plants-for-a-hallway/,Where low light starts,100 footcandles,"""a common baseline for low light is 100 footcandles."" The same author measured a snake plant's spot ""as low as 25-foot candles in mid-morning"".",30 August 2026
extension.psu.edu,https://extension.psu.edu/low-light-houseplants,https://growspotapp.com/guides/plants-for-a-room-with-no-windows/,The figure,100 footcandles,"""a common baseline for low light is 100 footcandles.""",30 August 2026
